Reading training examples... (1000 examples) done
Training set properties: 51 features, 20 classes
Iter 1: .........*(NumConst=1, SV=1, CEps=100.0000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=2, CEps=13.2693, QPEps=0.0000)
Iter 3: *(NumConst=3, SV=2, CEps=13.5730, QPEps=0.0000)
Iter 4: .........*(NumConst=4, SV=3, CEps=345.2604, QPEps=0.0000)
Iter 5: *(NumConst=5, SV=3, CEps=55.2013, QPEps=0.0005)
Iter 6: .........*(NumConst=6, SV=4, CEps=449.9337, QPEps=0.0010)
Iter 7: *(NumConst=7, SV=5, CEps=101.2050, QPEps=0.0000)
Iter 8: *(NumConst=8, SV=6, CEps=54.0124, QPEps=0.0203)
Iter 9: *(NumConst=9, SV=7, CEps=46.5837, QPEps=0.0001)
Iter 10: *(NumConst=10, SV=7, CEps=45.0656, QPEps=1.8423)
Iter 11: *(NumConst=11, SV=8, CEps=62.3225, QPEps=0.1662)
Iter 12: .........*(NumConst=12, SV=9, CEps=457.7594, QPEps=0.0000)
Iter 13: .........*(NumConst=13, SV=10, CEps=365.1788, QPEps=0.0000)
Iter 14: *(NumConst=14, SV=10, CEps=61.7743, QPEps=0.3711)
Iter 15: *(NumConst=15, SV=10, CEps=57.1335, QPEps=9.3354)
Iter 16: *(NumConst=16, SV=12, CEps=112.1187, QPEps=23.4313)
Iter 17: *(NumConst=17, SV=13, CEps=74.2597, QPEps=17.7812)
Iter 18: *(NumConst=18, SV=13, CEps=92.2388, QPEps=21.1598)
Iter 19: *(NumConst=19, SV=13, CEps=60.4556, QPEps=21.1151)
Iter 20: *(NumConst=20, SV=12, CEps=65.1951, QPEps=18.8381)
Iter 21: *(NumConst=21, SV=13, CEps=42.5801, QPEps=17.1218)
Iter 22: *(NumConst=22, SV=15, CEps=66.7079, QPEps=17.3281)
Iter 23: *(NumConst=23, SV=15, CEps=39.9465, QPEps=17.0666)
Iter 24: *(NumConst=24, SV=15, CEps=60.7597, QPEps=12.1898)
Iter 25: *(NumConst=25, SV=14, CEps=48.9778, QPEps=15.5546)
Iter 26: *(NumConst=26, SV=17, CEps=55.2353, QPEps=17.3616)
Iter 27: *(NumConst=27, SV=19, CEps=50.9821, QPEps=12.1911)
Iter 28: *(NumConst=28, SV=19, CEps=40.8345, QPEps=19.7740)
Iter 29: .........*(NumConst=29, SV=20, CEps=1282.9296, QPEps=45.8140)
Iter 30: .........*(NumConst=30, SV=21, CEps=557.5045, QPEps=17.9175)
Iter 31: *(NumConst=31, SV=22, CEps=178.2256, QPEps=42.5284)
Iter 32: *(NumConst=32, SV=21, CEps=157.1892, QPEps=40.1872)
Iter 33: *(NumConst=33, SV=24, CEps=132.6666, QPEps=40.6390)
Iter 34: *(NumConst=34, SV=24, CEps=149.2851, QPEps=48.0675)
Iter 35: *(NumConst=35, SV=22, CEps=65.3924, QPEps=32.5936)
Iter 36: .........*(NumConst=36, SV=23, CEps=525.3844, QPEps=29.8841)
Iter 37: *(NumConst=37, SV=25, CEps=150.5996, QPEps=31.9629)
Iter 38: *(NumConst=38, SV=26, CEps=129.3360, QPEps=28.9737)
Iter 39: *(NumConst=39, SV=26, CEps=88.4425, QPEps=40.1780)
Iter 40: *(NumConst=40, SV=27, CEps=83.0264, QPEps=36.5366)
Iter 41: *(NumConst=41, SV=31, CEps=67.7560, QPEps=30.6851)
Iter 42: *(NumConst=42, SV=29, CEps=55.0824, QPEps=26.9992)
Iter 43: *(NumConst=43, SV=29, CEps=57.2898, QPEps=25.7818)
Iter 44: .........*(NumConst=44, SV=30, CEps=642.6540, QPEps=37.6286)
Iter 45: .........*(NumConst=45, SV=35, CEps=402.8961, QPEps=31.9648)
Iter 46: *(NumConst=46, SV=37, CEps=102.0460, QPEps=35.8877)
Iter 47: *(NumConst=47, SV=39, CEps=71.0052, QPEps=34.5265)
Iter 48: *(NumConst=48, SV=39, CEps=42.7811, QPEps=19.5660)
Iter 49: *(NumConst=49, SV=38, CEps=48.5702, QPEps=21.3240)
Iter 50: *(NumConst=50, SV=38, CEps=45.2585, QPEps=17.7739)
Iter 51: .........*(NumConst=51, SV=42, CEps=665.1832, QPEps=45.3467)
Iter 52: .........*(NumConst=52, SV=44, CEps=348.4500, QPEps=36.3194)
Iter 53: *(NumConst=53, SV=45, CEps=73.4849, QPEps=31.3200)
Iter 54: *(NumConst=54, SV=44, CEps=67.0249, QPEps=32.1635)
Iter 55: *(NumConst=55, SV=46, CEps=50.1602, QPEps=24.7511)
Iter 56: *(NumConst=56, SV=45, CEps=44.9354, QPEps=20.7007)
Iter 57: *(NumConst=57, SV=44, CEps=41.1995, QPEps=14.8638)
Iter 58: *(NumConst=58, SV=46, CEps=52.3947, QPEps=20.2428)
Iter 59: .........*(NumConst=59, SV=48, CEps=331.1978, QPEps=42.9632)
Iter 60: *(NumConst=60, SV=50, CEps=89.9926, QPEps=39.8305)
Iter 61: *(NumConst=61, SV=50, CEps=82.8434, QPEps=29.7555)
Iter 62: *(NumConst=62, SV=48, CEps=43.2066, QPEps=18.6329)
Iter 63: *(NumConst=63, SV=49, CEps=82.7532, QPEps=21.1740)
Iter 64: *(NumConst=64, SV=48, CEps=63.0398, QPEps=20.8822)
Iter 65: *(NumConst=65, SV=49, CEps=116.1928, QPEps=19.9317)
Iter 66: *(NumConst=66, SV=48, CEps=87.1275, QPEps=18.1637)
Iter 67: *(NumConst=67, SV=49, CEps=45.2988, QPEps=21.1376)
Iter 68: *(NumConst=68, SV=49, CEps=68.7817, QPEps=19.7076)
Iter 69: *(NumConst=69, SV=43, CEps=37.3984, QPEps=18.3779)
Iter 70: *(NumConst=70, SV=42, CEps=39.7957, QPEps=17.9216)
Iter 71: *(NumConst=71, SV=42, CEps=59.0529, QPEps=14.1061)
Iter 72: *(NumConst=72, SV=41, CEps=42.3948, QPEps=17.0302)
Iter 73: .........*(NumConst=73, SV=42, CEps=186.7638, QPEps=40.7443)
Iter 74: *(NumConst=73, SV=45, CEps=135.5976, QPEps=45.0429)
Iter 75: *(NumConst=74, SV=46, CEps=123.9599, QPEps=47.6965)
Iter 76: *(NumConst=75, SV=44, CEps=117.6150, QPEps=39.3612)
Iter 77: *(NumConst=76, SV=45, CEps=116.1302, QPEps=45.3946)
Iter 78: *(NumConst=77, SV=46, CEps=140.4774, QPEps=42.9045)
Iter 79: *(NumConst=78, SV=44, CEps=84.2602, QPEps=42.0285)
Iter 80: *(NumConst=79, SV=43, CEps=113.0930, QPEps=31.8270)
Iter 81: *(NumConst=80, SV=44, CEps=148.0552, QPEps=41.6516)
Iter 82: *(NumConst=81, SV=43, CEps=103.7730, QPEps=35.0457)
Iter 83: *(NumConst=82, SV=43, CEps=104.2165, QPEps=41.4057)
Iter 84: *(NumConst=80, SV=39, CEps=105.2065, QPEps=40.1815)
Iter 85: *(NumConst=81, SV=39, CEps=87.1298, QPEps=37.1991)
Iter 86: *(NumConst=82, SV=38, CEps=124.7652, QPEps=39.1362)
Iter 87: *(NumConst=83, SV=39, CEps=115.3944, QPEps=41.7849)
Iter 88: *(NumConst=84, SV=38, CEps=111.3310, QPEps=40.2630)
Iter 89: *(NumConst=85, SV=39, CEps=68.6754, QPEps=25.5844)
Iter 90: *(NumConst=86, SV=37, CEps=95.7140, QPEps=32.6004)
Iter 91: *(NumConst=87, SV=36, CEps=115.9450, QPEps=33.7984)
Iter 92: *(NumConst=88, SV=37, CEps=87.9167, QPEps=28.7366)
Iter 93: *(NumConst=89, SV=36, CEps=98.9313, QPEps=32.3605)
Iter 94: *(NumConst=90, SV=39, CEps=77.1444, QPEps=30.6700)
Iter 95: *(NumConst=91, SV=39, CEps=104.8875, QPEps=29.1273)
Iter 96: *(NumConst=92, SV=37, CEps=101.5088, QPEps=29.7911)
Iter 97: *(NumConst=93, SV=39, CEps=70.3225, QPEps=29.4664)
